Name, Latitude, Longitude
KAB. BANGKALAN,-7.0384,112.9137
KAB. BANYUWANGI,-8.2191,114.3691
KAB. BLITAR,-8.0955,112.1609
KAB. BOJONEGORO,-7.3175,111.7615
KAB. BONDOWOSO,-7.9674,113.9061
KAB. GRESIK,-7.155,112.5722
KAB. JEMBER,-8.1845,113.6681
KAB. JOMBANG,-7.5741,112.2861
KAB. KEDIRI,-7.8232,112.1907
KAB. LAMONGAN,-7.1269,112.3338
KAB. LUMAJANG,-8.0944,113.1442
KAB. MADIUN,-7.6093,111.6184
KAB. MAGETAN,-7.6433,111.356
KAB. MALANG,-8.2422,112.7152
KAB. MOJOKERTO,-7.4699,112.4351
KAB. NGANJUK,-7.5944,111.9046
KAB. NGAWI,-7.461,111.3322
KAB. PACITAN,-8.1263,111.1414
KAB. PAMEKASAN,-7.1051,113.5252
KAB. PASURUAN,-7.786,112.8582
KAB. PONOROGO,-7.8651,111.4696
KAB. PROBOLINGGO,-7.8718,113.4776
KAB. SAMPANG,-7.0402,113.2394
KAB. SIDOARJO,-7.4726,112.6675
KAB. SITUBONDO,-7.7889,114.1915
KAB. SUMENEP,-6.9254,113.9061
KAB. TRENGGALEK,-8.1824,111.6184
KAB. TUBAN,-6.8955,112.0298
KAB. TULUNGAGUNG,-8.0912,111.9642
KOTA BATU,-7.8831,112.5334
KOTA BLITAR,-8.0955,112.1609
KOTA KEDIRI,-7.848,112.0178
KOTA MADIUN,-7.6311,111.53
KOTA MALANG,-7.9666,112.6326
KOTA MOJOKERTO,-7.4705,112.4401
KOTA PASURUAN,-7.6469,112.8999
KOTA PROBOLINGGO,-7.7764,113.2037
KOTA SURABAYA,-7.2575,112.7521
Kota Tegal,-6.8666667,109.1333333
